1659040260.904474000,1434
1659040260.904474000,200
1659040260.904545000,54
1659040260.905558000,1161
1659040260.913574000,1074
1659040260.919580000,60
1659040260.932585000,60
1659040260.988043000,1243
1659040260.994870000,1434
1659040260.994870000,551
1659040260.994942000,54
1659040261.033836000,54
1659040261.035322000,66
1659040261.037089000,66
1659040261.037142000,54
1659040261.037322000,54
1659040261.038776000,1434
1659040261.038776000,645
1659040261.038838000,54
1659040261.039232000,60
1659040261.039266000,54
1659040261.044242000,1434
1659040261.044242000,551
1659040261.044307000,54
1659040261.070065000,1632
1659040261.074045000,1628
1659040261.095596000,60
1659040261.139410000,60
1659040261.141042000,1434
1659040261.141042000,390
1659040261.141111000,54
1659040261.143601000,1968
1659040261.232759000,60
1659040261.342519000,60
1659040261.393735000,60
1659040261.461339000,60
1659040261.472551000,1434
1659040261.472551000,344
1659040261.472699000,54
1659040261.507899000,754
1659040261.548872000,1434
1659040261.548872000,308
1659040261.549115000,54
1659040261.587768000,1434
1659040261.587768000,645
1659040261.587884000,54
1659040261.621828000,684
1659040261.653804000,1434
1659040261.653804000,206
1659040261.653887000,54
1659040261.658572000,1401
1659040261.658619000,54
1659040261.671230000,1434
1659040261.671230000,241
1659040261.671279000,54
1659040261.680096000,1434
1659040261.680096000,551
1659040261.680146000,54
1659040261.702975000,1434
1659040261.702975000,235
1659040261.703061000,54
1659040261.729195000,1341
1659040261.753213000,1197
1659040261.753273000,54
1659040261.757686000,88
1659040261.780468000,88
1659040261.812306000,1309
1659040261.889594000,1434
1659040261.889594000,770
1659040261.889663000,54
1659040261.925614000,1621
1659040261.925877000,1628
1659040261.927611000,1434
1659040261.927611000,1434
1659040261.927675000,54
1659040261.935848000,1434
1659040261.935848000,1434
1659040261.935893000,54
1659040261.955244000,1434
1659040261.955244000,1434
1659040261.955306000,54
1659040262.010290000,1434
1659040262.010290000,1434
1659040262.010399000,54
1659040262.035889000,1434
1659040262.035889000,1434
1659040262.036045000,54
1659040262.058861000,1434
1659040262.058861000,1434
1659040262.058891000,66
1659040262.083569000,1434
1659040262.083569000,1160
1659040262.083601000,66
1659040262.083608000,66
1659040262.105438000,60
1659040262.198518000,60
1659040262.245692000,60
1659040262.356907000,1434
1659040262.356962000,66
1659040262.358924000,1434
1659040262.358976000,54
1659040262.378951000,1868
1659040262.521493000,1341
1659040262.571558000,54
1659040262.628477000,1434
1659040262.628477000,999
1659040262.628551000,54
1659040262.632826000,1320
1659040262.651513000,60
1659040262.903686000,60
1659040262.992184000,1367
1659040263.034745000,66
1659040263.036533000,66
1659040263.036599000,54
1659040263.036759000,54
1659040263.038681000,60
1659040263.038712000,54
1659040263.265403000,60
1659040263.344452000,1002
1659040263.349011000,1660
1659040263.351047000,74
1659040263.361798000,75
1659040263.469304000,1002
1659040263.469379000,54
1659040263.472021000,946
1659040263.595348000,1309
1659040263.600624000,1579
1659040263.621478000,60
1659040263.745394000,60
1659040263.871671000,60
1659040263.896388000,1003
1659040264.169241000,60
1659040264.446184000,1434
1659040264.446184000,1434
1659040264.446273000,54
1659040264.449047000,1309
1659040264.472843000,287
1659040264.517726000,54
1659040264.638318000,1434
1659040264.638318000,1434
1659040264.638383000,54
1659040264.656461000,1434
1659040264.656461000,1391
1659040264.656549000,54
1659040264.659222000,1621
1659040264.720007000,60
1659040264.822967000,1413
1659040264.864495000,54
1659040264.930791000,60
1659040265.036711000,66
1659040265.041243000,66
1659040265.041292000,54
1659040265.041485000,54
1659040265.043640000,66
1659040265.043663000,66
1659040265.046293000,60
1659040265.046322000,54
1659040265.095414000,62
1659040265.110085000,2260
1659040265.126407000,74
1659040265.317536000,1320
1659040265.317645000,54
1659040265.322478000,1660
1659040265.381930000,60
1659040265.381930000,60
1659040265.570644000,1413
1659040265.574827000,1827
1659040265.593304000,60
1659040265.654823000,1434
1659040265.654823000,252
1659040265.654903000,54
1659040265.740413000,1166
1659040265.847399000,60
1659040265.926356000,1681
1659040265.926445000,1367
1659040265.935711000,1434
1659040265.935711000,199
1659040265.935783000,54
1659040266.011460000,60
1659040266.046503000,754
1659040266.049385000,1301
1659040266.241247000,60
1659040266.245114000,60
1659040266.245850000,635
1659040266.255470000,2084
1659040266.284565000,1434
1659040266.284565000,199
1659040266.284649000,54
1659040266.322133000,60
1659040266.372808000,1621
1659040266.387748000,1309
1659040266.430895000,54
1659040266.573727000,60
1659040266.637116000,1434
1659040266.637116000,373
1659040266.637206000,54
1659040266.639668000,702
1659040266.646544000,60
1659040266.792009000,88
1659040266.820809000,88
1659040266.971496000,702
1659040266.998744000,60
1659040267.039096000,66
1659040267.041329000,66
1659040267.041385000,54
1659040267.041564000,54
1659040267.042666000,996
1659040267.043724000,60
1659040267.043756000,54
1659040267.054733000,1434
1659040267.054733000,344
1659040267.054797000,54
1659040267.289074000,66
1659040267.313802000,60
1659040267.620653000,1434
1659040267.620653000,1434
1659040267.620733000,54
1659040267.639277000,1434
1659040267.639277000,1434
1659040267.639339000,54
1659040267.650487000,641
1659040267.667292000,1434
1659040267.667292000,485
1659040267.667359000,54
1659040267.693344000,54
1659040267.736571000,815
1659040267.737511000,1621
1659040267.937299000,1993
1659040268.008436000,60
1659040268.017753000,844
1659040268.020588000,1599
1659040268.054145000,60
1659040268.256890000,60
1659040268.256890000,60
1659040268.259192000,1434
1659040268.259192000,453
1659040268.259314000,54
1659040268.262112000,815
1659040268.292840000,60
1659040268.581024000,815
1659040268.581041000,60
