,Time,Length,Is_malicious
0,1659040260.904474,100.0,1.0
68573,1659040260.904474,100.0,1.0
1,1659040260.904545,54.0,1.0
2,1659040260.905558,100.0,1.0
68574,1659040260.905558,100.0,1.0
3,1659040260.913574,100.0,1.0
68575,1659040260.913574,100.0,1.0
4,1659040260.91958,60.0,1.0
5,1659040260.932585,60.0,1.0
6,1659040260.988043,100.0,1.0
68576,1659040260.988043,100.0,1.0
8,1659040260.99487,100.0,1.0
68577,1659040260.99487,100.0,1.0
68578,1659040260.99487,100.0,1.0
7,1659040260.99487,100.0,1.0
9,1659040260.994942,54.0,1.0
10,1659040261.033836,54.0,1.0
11,1659040261.035322,66.0,1.0
12,1659040261.037089,66.0,1.0
13,1659040261.037142,54.0,1.0
14,1659040261.037322,54.0,1.0
15,1659040261.038776,100.0,1.0
68579,1659040261.038776,100.0,1.0
68580,1659040261.038776,100.0,1.0
16,1659040261.038776,100.0,1.0
17,1659040261.038838,54.0,1.0
18,1659040261.039232,60.0,1.0
19,1659040261.039266,54.0,1.0
20,1659040261.044242,100.0,1.0
21,1659040261.044242,100.0,1.0
68581,1659040261.044242,100.0,1.0
68582,1659040261.044242,100.0,1.0
22,1659040261.044307,54.0,1.0
23,1659040261.070065,100.0,1.0
68583,1659040261.070065,100.0,1.0
24,1659040261.074045,100.0,1.0
68584,1659040261.074045,100.0,1.0
25,1659040261.095596,60.0,1.0
26,1659040261.13941,60.0,1.0
27,1659040261.141042,100.0,1.0
28,1659040261.141042,100.0,1.0
68586,1659040261.141042,100.0,1.0
68585,1659040261.141042,100.0,1.0
29,1659040261.141111,54.0,1.0
30,1659040261.143601,100.0,1.0
68587,1659040261.143601,100.0,1.0
31,1659040261.232759,60.0,1.0
32,1659040261.342519,60.0,1.0
33,1659040261.393735,60.0,1.0
34,1659040261.461339,60.0,1.0
68588,1659040261.472551,100.0,1.0
68589,1659040261.472551,100.0,1.0
35,1659040261.472551,100.0,1.0
36,1659040261.472551,100.0,1.0
37,1659040261.472699,54.0,1.0
68590,1659040261.507899,100.0,1.0
38,1659040261.507899,100.0,1.0
68591,1659040261.548872,100.0,1.0
39,1659040261.548872,100.0,1.0
40,1659040261.548872,100.0,1.0
68592,1659040261.548872,100.0,1.0
41,1659040261.549115,54.0,1.0
42,1659040261.587768,100.0,1.0
43,1659040261.587768,100.0,1.0
68593,1659040261.587768,100.0,1.0
68594,1659040261.587768,100.0,1.0
44,1659040261.587884,54.0,1.0
68595,1659040261.621828,100.0,1.0
45,1659040261.621828,100.0,1.0
47,1659040261.653804,100.0,1.0
68597,1659040261.653804,100.0,1.0
68596,1659040261.653804,100.0,1.0
46,1659040261.653804,100.0,1.0
48,1659040261.653887,54.0,1.0
68598,1659040261.658572,100.0,1.0
49,1659040261.658572,100.0,1.0
50,1659040261.658619,54.0,1.0
68600,1659040261.67123,100.0,1.0
68599,1659040261.67123,100.0,1.0
52,1659040261.67123,100.0,1.0
51,1659040261.67123,100.0,1.0
53,1659040261.671279,54.0,1.0
68601,1659040261.680096,100.0,1.0
68602,1659040261.680096,100.0,1.0
55,1659040261.680096,100.0,1.0
54,1659040261.680096,100.0,1.0
56,1659040261.680146,54.0,1.0
57,1659040261.702975,100.0,1.0
58,1659040261.702975,100.0,1.0
68604,1659040261.702975,100.0,1.0
68603,1659040261.702975,100.0,1.0
59,1659040261.703061,54.0,1.0
60,1659040261.729195,100.0,1.0
68605,1659040261.729195,100.0,1.0
61,1659040261.753213,100.0,1.0
68606,1659040261.753213,100.0,1.0
62,1659040261.753273,54.0,1.0
63,1659040261.757686,88.0,1.0
64,1659040261.780468,88.0,1.0
